Rank,Similarity Score,Peterson URL Video 1,Wolfe URL Video 2
0,0.9317203635384339,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=LIRI_8hjgm8
1,0.9257542985514564,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=LIRI_8hjgm8
2,0.9248860437780156,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=LIRI_8hjgm8
3,0.9245845758683982,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=COg6Qzt1new
4,0.9244970211877392,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=LIRI_8hjgm8
5,0.9216018865046,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=LIRI_8hjgm8
6,0.9209023722362912,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=LIRI_8hjgm8
7,0.9203052106855006,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=IIgJWYMX6LE
8,0.9195858903410268,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=LIRI_8hjgm8
9,0.9158035685210018,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=COg6Qzt1new
10,0.9156270020812842,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=jQdf2XgbLZo
11,0.915612532406466,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=IIgJWYMX6LE
12,0.9138481869422495,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=COg6Qzt1new
13,0.9138175044752016,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=COg6Qzt1new
14,0.9136707278867697,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=0zijwkFuwbo
15,0.9133259802139579,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=LIRI_8hjgm8
16,0.912072368812932,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=-gFz4HL_uhA
17,0.9116099486936402,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=LIRI_8hjgm8
18,0.9108907395449315,https://www.youtube.com/watch?v=cFS6fPLQ024,https://www.youtube.com/watch?v=LIRI_8hjgm8
19,0.910588342353129,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=l6zkg3Ihg0g
20,0.9104364818115032,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=3TnQSVytQ8A
21,0.9103486914792913,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=KUqGpkR21aM
22,0.9102481424344442,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=KUqGpkR21aM
23,0.9102468404614137,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=-gFz4HL_uhA
24,0.9102336389127138,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=IIgJWYMX6LE
25,0.9101830680751916,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=KUqGpkR21aM
26,0.9101433603097485,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=-gFz4HL_uhA
27,0.9101165246644144,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=COg6Qzt1new
28,0.9100737412141162,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=l6zkg3Ihg0g
29,0.9098840131204907,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=IIgJWYMX6LE
30,0.909750104325203,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=4i9jRsZlqUs
31,0.9087879563858314,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=-gFz4HL_uhA
32,0.9077879592031143,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=-gFz4HL_uhA
33,0.9076523350270531,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=-gFz4HL_uhA
34,0.9075313243441232,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=COg6Qzt1new
35,0.9075143608102513,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=yESTOkh6nQE
36,0.90736963626252,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=KUqGpkR21aM
37,0.9073149356683315,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=14UeTjQOx50
38,0.9068274333932587,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=jQdf2XgbLZo
39,0.9067914283665346,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=3TnQSVytQ8A
